ID,Текст,Предшественники
Φ1,Начало проекта,
1.1,Анализ текущих браузеров,Φ1
1.2,Определение требований,1.1
1.3,Проектирование,1.2
1.3.1,Выбор технологического стека,1.3
1.3.2,Проектирование архитектуры,1.3
1.3.3,Дорожная карта,1.3
2.1,Сетевой модуль,1.3.1;1.3.2
2.1.1,HTTP/TLS,2.1
2.1.2,Cookie/cache,2.1
2.1.3,Очередь загрузки,2.1
2.2,HTML-парсер,1.3.1;1.3.2
2.2.1,Лексический анализ,2.2
2.2.2,Загрузка подресурсов,2.2
2.3,CSS-парсер,1.3.1;1.3.2
2.3.1,Парсинг CSS,2.3
2.3.2,Дерево рендеринга,2.3
2.4,Движок рендеринга,2.2;2.3
2.4.1,Преобразование стилей,2.4
2.4.2,Обработка текста/фигур,2.4
2.4.3,Композитинг,2.4
2.5,JS-движок,2.2;2.3
2.5.1,Интерпретатор,2.5
2.5.2,Цикл событий,2.5
2.6,Пользовательский интерфейс,1.3.3;2.4;2.5
2.6.1,Адресная строка,2.6
2.6.2,Вкладки/навигация,2.6
2.6.3,Закладки/история,2.6
2.7,Безопасность,2.4;2.5
2.7.1,Изоляция процессов,2.7
2.7.2,Защита от XSS,2.7
2.8,Инструменты разработчика,2.5;2.6
2.8.1,Консоль JS,2.8
2.8.2,Отладчик/профилировщик,2.8
3.1,Рекламная кампания,1.3.3;2.6
3.2,Сообщество,1.3.3
3.3,Каталоги софта,1.3.3;2.6
3.4,Инвесторы/партнёры,1.3.3
3.5,Календарь событий,1.3.3
4.1,Сбор обратной связи,2.6;2.7;2.8
4.2,Техподдержка,2.6;2.7;2.8
4.3,База знаний/хакатоны,4.1;4.2
Φ2,Фиктивный конец,4.3
